the,322966
of,199061
to,184159
a,157771
in,135563
and,128660
"",115765
is,84208
|,81285
that,71733
for,60730
The,49913
by,46987
on,44885
as,42902
are,42588
from,39879
has,38451
with,37965
it,37817
was,36789
menu,36497
have,33590
be,32938
Mr,32773
not,27191
an,25627
its,25124
at,24291
their,24124
more,23500
his,22337
he,22191
they,21740
will,21681
which,20246
Main,19944
than,19038
But,18293
In,17325
who,16496
would,16415
Section,16199
or,16051
but,14839
this,14688
This,14572
been,14274
had,13332
It,12774
were,12633
up,12580
about,12413
A,11920
Next,11794
one,11746
also,11711
can,11627
new,11106
such,10606
says,10432
into,10230
may,9837
Previous,9826
could,9700
other,9502
out,9457
over,9197
some,8974
people,8853
most,8841
article,8754
government,8632
all,8539
when,8467
only,8386
downloaded,8111
calibre,8092
them,7786
after,7728
section,7724
no,7687
He,7604
many,7556
so,7499
two,7280
if,7264
first,6949
American,6828
even,6692
do,6672
much,6541
like,6539
her,6494
That,6339
those,6179
just,6139
now,6102
between,6086
years,5916
what,5897
make,5828
there,5752
since,5717
They,5682
because,5658
China,5516
America,5485
against,5419
should,5393
she,5365
last,5327
year,5296
still,5269
less,5268
might,5260
"[Fri,",5173
And,5164
where,5112
how,4960
Trump,4892
made,4802
big,4616
political,4600
firms,4597
As,4571
time,4488
Chinese,4441
being,4336
any,4334
said,4292
2018,4245
way,4177
Yet,4153
these,4149
state,4126
under,4112
European,4058
before,4011
countries,3932
around,3892
both,3869
own,3854
If,3759
three,3757
him,3726
get,3721
take,3707
2017,3693
long,3688
Some,3683
through,3670
you,3663
country,3642
For,3562
work,3548
On,3535
become,3534
often,3530
used,3520
America’s,3513
world,3505
down,3491
few,3480
public,3472
does,3457
did,3456
party,3453
another,3438
well,3435
power,3434
then,3417
back,3396
former,3362
Britain,3322
Ms,3313
May,3253
economic,3253
use,3228
next,3222
too,3212
part,3209
far,3189
One,3171
same,3158
including,3123
past,3084
already,3068
off,3058
found,3053
trade,3049
need,2998
recent,2988
China’s,2975
little,2968
president,2963
foreign,2942
deal,2923
it.,2919
called,2877
market,2869
without,2862
help,2851
financial,2849
British,2843
business,2839
likely,2813
better,2789
number,2772
set,2763
among,2760
New,2746
money,2744
There,2736
good,2729
must,2712
local,2709
South,2700
His,2670
data,2650
election,2647
companies,2617
global,2586
least,2573
biggest,2563
end,2560
see,2539
prime,2528
EU,2520
At,2517
pay,2517
year.,2504
hard,2502
economy,2499
share,2487
rather,2484
(see,2476
national,2473
go,2471
each,2470
second,2464
come,2459
almost,2459
put,2445
When,2434
system,2416
want,2397
half,2392
whether,2357
say,2344
tax,2329
change,2323
To,2310
Many,2297
Brexit,2288
firm,2284
them.,2281
while,2253
once,2228
women,2224
country’s,2218
find,2203
across,2182
world’s,2175
University,2171
war,2154
growth,2148
every,2145
making,2141
support,2137
small,2130
By,2126
"year,",2121
Even,2119
took,2116
makes,2104
left,2096
social,2095
main,2086
